Case No,Department
KM-07752,Agriculture - KM
KM-07753,Agriculture - KM
KM-07754,Agriculture - KM
KM-07756,Agriculture - KM
KM-07756,Banking
KM-07758,Agriculture - KM
KM-07759,Rural Development
KM-07760,Revenue
KM-07761,Revenue
KM-07762,Agriculture - KM
KM-07763,Agriculture - KM
KM-07764,Kisan Mitra Help Line
KM-07765,Revenue
KM-07766,Revenue
KM-07767,Rural Development
KM-07769,Agriculture - KM
KM-07770,Agriculture - KM
KM-07771,Revenue
KM-07772,Revenue
KM-07773,Agriculture - KM
KM-07774,Revenue
KM-07775,Agriculture - KM
KM-07776,Agriculture - KM
KM-07777,Revenue
KM-07778,Revenue
KM-07779,Agriculture - KM
KM-07780,Revenue
KM-07781,Revenue
KM-07782,Revenue
KM-07784,Agriculture - KM
KM-07785,Banking
KM-07786,Rural Development
KM-07787,Agriculture - KM
KM-07788,Kisan Mitra Help Line
KM-07789,Kisan Mitra Help Line
KM-07790,Agriculture - KM
KM-07791,Agriculture - KM
KM-07792,Agriculture - KM
KM-07793,Agriculture - KM
KM-07794,Revenue
KM-07795,Agriculture - KM
KM-07796,Revenue
KM-07797,Agriculture - KM
KM-07798,Agriculture - KM
KM-07799,Agriculture - KM
KM-07800,Banking
KM-07801,Revenue
KM-07802,Revenue
KM-07803,Banking
KM-07804,Revenue
KM-07805,Revenue
KM-07806,Rural Development
KM-07809,Revenue
KM-07810,Revenue
KM-07811,Agriculture - KM
KM-07812,Agriculture - KM
KM-07813,Horticulture
KM-07814,Revenue
KM-07815,Agriculture - KM
KM-07816,Banking
KM-07817,Revenue
KM-07818,Revenue
KM-07819,Agriculture - KM
KM-07820,Agriculture - KM
KM-07821,Revenue
KM-07822,Revenue
KM-07823,Forest
KM-07824,Agriculture - KM
KM-07825,Revenue
KM-07826,Agriculture - KM
KM-07827,Revenue
KM-07828,Banking
KM-07829,Banking
KM-07830,Revenue
KM-07831,Agriculture - KM
KM-07832,Agriculture - KM
KM-07834,Revenue
KM-07835,Rural Development
KM-07836,Electricity
KM-07837,Agriculture - KM
KM-07838,Irrigation
KM-07839,Animal Husbandary & Veternary
KM-07840,Agriculture - KM
KM-07841,Revenue
KM-07842,Kisan Mitra Help Line
KM-07845,Forest
KM-07845,Agriculture - KM
KM-07847,Revenue
KM-07848,Rural Development
KM-07849,Agriculture - KM
KM-07850,Agriculture - KM
KM-07851,Irrigation
KM-07852,Revenue
KM-07853,Revenue
KM-07854,Revenue
KM-07855,Revenue
KM-07856,Revenue
KM-07857,ITDA Department
KM-07858,Electricity
KM-07859,Agriculture - KM
KM-07861,Horticulture
KM-07862,Agriculture - KM
KM-07863,Revenue
KM-07864,Revenue
KM-07865,Revenue
KM-07866,Rural Development
KM-07867,Agriculture - KM
KM-07869,Rural Development
KM-07870,Revenue
KM-07871,Agriculture - KM
KM-07872,Revenue
KM-07873,Revenue
KM-07874,Agriculture - KM
KM-07875,Medical Dept.
KM-07876,Agriculture - KM
KM-07877,Revenue
KM-07878,Department not mapped
KM-07879,Revenue
KM-07880,Horticulture
KM-07881,Revenue
KM-07882,Electricity
KM-07883,Agriculture - KM
KM-07884,Kisan Mitra Help Line
KM-07885,Rural Development
KM-07886,SC Corporation
KM-07888,Revenue
KM-07889,Revenue
KM-07891,Rural Development
KM-07892,Revenue
KM-07894,Revenue
KM-07895,Revenue
KM-07896,Revenue
KM-07897,Revenue
KM-07898,Agriculture - KM
KM-07899,Agriculture - KM
KM-07900,Revenue
KM-07901,Revenue
KM-07902,Banking
KM-07903,Kisan Mitra Help Line
KM-07904,Panchayath
KM-07905,Revenue
KM-07906,Revenue
KM-07907,Revenue
KM-07908,Forest
KM-07908,Agriculture - KM
KM-07909,Revenue
KM-07910,Revenue
KM-07911,BC Corporation
KM-07912,Agriculture - KM
KM-07914,Agriculture - KM
KM-07915,Revenue
KM-07916,Marketing
KM-07918,Kisan Mitra Help Line
KM-07919,Rural Development
KM-07920,Rural Development
KM-07921,Revenue
KM-07922,Revenue
KM-07923,Agriculture - KM
KM-07924,Kisan Mitra Help Line
KM-07925,Revenue
KM-07926,Department not mapped
KM-07927,Department not mapped
KM-07928,Revenue
KM-07929,Medical Dept.
KM-07930,SC Corporation
KM-07932,Revenue
KM-07933,Revenue
KM-07934,Electricity
KM-07934,Agriculture - KM
KM-07935,Revenue
KM-07936,Banking
KM-07937,Revenue
KM-07938,Revenue
KM-07939,Revenue
KM-07940,Revenue
KM-07941,Revenue
KM-07942,Agriculture - KM
KM-07943,Agriculture - KM
KM-07944,Revenue
KM-07945,Revenue
KM-07946,Agriculture - KM
KM-07947,Revenue
KM-07948,Agriculture - KM
KM-07949,Rural Development
KM-07950,Revenue
KM-07951,Horticulture
KM-07952,Revenue
KM-07953,Agriculture - KM
KM-07955,Revenue
KM-07956,Agriculture - KM
KM-07957,Agriculture - KM
KM-07958,Revenue
KM-07959,Revenue
KM-07960,Banking
KM-07961,Kisan Mitra Help Line
KM-07962,Agriculture - KM
KM-07963,Agriculture - KM
KM-07964,Agriculture - KM
KM-07966,Agriculture - KM
KM-07966,Banking
KM-07969,Revenue
KM-07970,Agriculture - KM
KM-07971,Agriculture - KM
KM-07972,Rural Development
KM-07973,Agriculture - KM
KM-07974,Agriculture - KM
KM-07975,Horticulture
KM-07976,Revenue
KM-07978,Agriculture - KM
KM-07979,Revenue
KM-07980,Revenue
KM-07981,Revenue
KM-07983,Animal Husbandary & Veternary
KM-07984,Banking
KM-07985,Revenue
KM-07986,Revenue
KM-07987,Revenue
KM-07988,Revenue
KM-07989,Agriculture - KM
KM-07990,Revenue
KM-07991,Revenue
KM-07992,Revenue
KM-07993,Rural Development
KM-07994,Revenue
KM-07995,Banking
KM-07996,Revenue
KM-07997,Revenue
KM-07998,Revenue
KM-07999,Banking
KM-08000,Revenue
KM-08001,Revenue
KM-08002,Revenue
KM-08003,Agriculture - KM
KM-08004,Agriculture - KM
KM-08005,Revenue
KM-08006,Revenue
KM-08007,Revenue
KM-08008,Agriculture - KM
KM-08009,Agriculture - KM
KM-08010,Rural Development
KM-08011,Revenue
KM-08012,Revenue
KM-08013,Banking
KM-08014,Rural Development
KM-08015,Agriculture - KM
KM-08016,Revenue
KM-08017,Electricity
KM-08018,Revenue
KM-08019,Agriculture - KM
KM-08020,Agriculture - KM
KM-08021,Revenue
KM-08022,Revenue
KM-08023,Horticulture
KM-08024,Agriculture - KM
KM-08025,Agriculture - KM
KM-08026,Revenue
KM-08027,Agriculture - KM
KM-08028,Agriculture - KM
KM-08028,Banking
KM-08029,Revenue
KM-08030,Revenue
KM-08030,Irrigation
KM-08031,Agriculture - KM
KM-08032,Agriculture - KM
KM-08033,Revenue
KM-08034,Revenue
KM-08035,Rural Development
KM-08036,Revenue
KM-08037,Revenue
KM-08038,Revenue
KM-08039,Revenue
KM-08040,Rural Development
KM-08041,Revenue
KM-08042,Agriculture - KM
KM-08045,Revenue
KM-08046,Revenue
KM-08047,Revenue
KM-08048,Revenue
KM-08049,Revenue
KM-08050,Revenue
KM-08051,Revenue
KM-08052,Revenue
KM-08053,Agriculture - KM
KM-08054,Agriculture - KM
KM-08056,Revenue
KM-08057,Agriculture - KM
KM-08058,Revenue
KM-08059,Revenue
KM-08060,Revenue
KM-08062,Marketing
KM-08063,Revenue
KM-08064,Revenue
KM-08065,Department not mapped
KM-08066,Electricity
KM-08067,Revenue
KM-08068,Revenue
KM-08070,Revenue
KM-08071,Revenue
KM-08073,Agriculture - KM
KM-08074,Banking
KM-08075,Agriculture - KM
KM-08076,Revenue
KM-08077,Department not mapped
KM-08079,Revenue
KM-08080,Agriculture - KM
KM-08081,Revenue
KM-08082,Revenue
KM-08083,Banking
KM-08083,Agriculture - KM
KM-08084,Banking
KM-08084,Agriculture - KM
KM-08085,Banking
KM-08086,Revenue
KM-08087,Agriculture - KM
KM-08088,SC Corporation
KM-08089,SC Corporation
KM-08090,Revenue
KM-08091,Agriculture - KM
KM-08092,Agriculture - KM
KM-08093,Revenue
KM-08094,Banking
KM-08094,Agriculture - KM
KM-08095,Revenue
KM-08096,Medical Dept.
KM-08096,ITDA Department
KM-08097,Revenue
KM-08098,Revenue
KM-08099,Agriculture - KM
KM-08100,Banking
KM-08101,Revenue
KM-08102,Revenue
KM-08103,Agriculture - KM
KM-08105,Banking
KM-08106,Banking
KM-08107,Revenue
KM-08109,Revenue
KM-08110,Revenue
KM-08111,Revenue
KM-08112,Revenue
KM-08113,Revenue
KM-08114,Kisan Mitra Help Line
KM-08115,Department not mapped
KM-08116,Forest
KM-08117,Revenue
KM-08118,Revenue
KM-08119,Agriculture - KM
KM-08120,Revenue
KM-08121,Agriculture - KM
KM-08122,Revenue
KM-08123,ITDA Department
KM-08124,Revenue
KM-08125,Revenue
KM-08126,Revenue
KM-08127,Revenue
KM-08128,Animal Husbandary & Veternary
KM-08129,Revenue
KM-08130,Revenue
KM-08131,Revenue
KM-08132,Revenue
KM-08133,Kisan Mitra Help Line
KM-08134,Revenue
KM-08135,Revenue
KM-08136,Revenue
KM-08137,Revenue
KM-08138,Revenue
KM-08139,Banking
KM-08140,Revenue
KM-08141,Revenue
KM-08142,Revenue
KM-08144,Agriculture - KM
KM-08145,Revenue
KM-08148,Revenue
KM-08149,Revenue
KM-08150,Agriculture - KM
KM-08151,Revenue
KM-08152,Revenue
KM-08153,Revenue
KM-08154,Electricity
KM-08156,Revenue
KM-08157,Revenue
KM-08158,Agriculture - KM
KM-08159,Kisan Mitra Help Line
KM-08160,Revenue
KM-08161,Revenue
KM-08162,Revenue
KM-08164,Revenue
KM-08165,Revenue
KM-08166,Horticulture
KM-08167,Agriculture - KM
KM-08168,Revenue
KM-08169,Agriculture - KM
KM-08170,Agriculture - KM
KM-08171,Agriculture - KM
KM-08172,Revenue
KM-08173,Banking
KM-08174,Electricity
KM-08175,Revenue
KM-08176,ITDA Department
KM-08177,Revenue
KM-08178,Revenue
KM-08179,Revenue
KM-08180,Rural Development
KM-08181,Rural Development
KM-08182,Revenue
KM-08183,Revenue
KM-08184,Agriculture - KM
KM-08185,Rural Development
KM-08186,Rural Development
KM-08187,Rural Development
KM-08189,Agriculture - KM
KM-08190,Revenue
KM-08191,Rural Development
KM-08192,Revenue
KM-08194,Rural Development
KM-08195,Rural Development
KM-08196,Revenue
KM-08197,Revenue
KM-08198,Revenue
KM-08199,Revenue
KM-08200,Revenue
KM-08201,Revenue
KM-08202,Rural Development
KM-08203,Agriculture - KM
KM-08204,Revenue
KM-08205,Banking
KM-08206,Revenue
KM-08208,Revenue
KM-08209,Revenue
KM-08210,Revenue
KM-08211,Marketing
KM-08212,Revenue
KM-08213,Revenue
KM-08214,Revenue
KM-08215,Revenue
KM-08216,Agriculture - KM
KM-08217,Marketing
KM-08218,Revenue
KM-08219,Revenue
KM-08220,Electricity
KM-08221,RWS department
KM-08222,Banking
KM-08223,Revenue
KM-08224,Electricity
KM-08225,Agriculture - KM
KM-08226,Revenue
KM-08227,Revenue
KM-08228,Revenue
KM-08229,Agriculture - KM
KM-08230,Revenue
KM-08231,Revenue
KM-08232,Revenue
KM-08233,Horticulture
KM-08234,ITDA Department
KM-08235,Rural Development
KM-08236,Revenue
KM-08237,Revenue
KM-08238,Revenue
KM-08240,Agriculture - KM
KM-08241,Revenue
KM-08242,Agriculture - KM
KM-08243,Revenue
KM-08244,Revenue
KM-08245,Revenue
KM-08246,Agriculture - KM
KM-08246,Banking
KM-08247,Revenue
KM-08248,Revenue
KM-08250,Revenue
KM-08251,Agriculture - KM
KM-08252,Revenue
KM-08253,Revenue
KM-08254,Agriculture - KM
KM-08255,Revenue
KM-08256,Revenue
KM-08257,Revenue
KM-08258,Revenue
KM-08259,Revenue
KM-08260,Marketing
KM-08262,Revenue
KM-08263,Revenue
KM-08264,Banking
KM-08265,Revenue
KM-08266,Banking
KM-08267,Agriculture - KM
KM-08268,Revenue
KM-08269,Revenue
KM-08270,Revenue
KM-08271,Electricity
KM-08272,Banking
KM-08272,Agriculture - KM
KM-08273,Revenue
KM-08273,ITDA Department
KM-08274,Agriculture - KM
KM-08275,Banking
KM-08276,Banking
KM-08277,Banking
KM-08278,Banking
KM-08279,Revenue
KM-08280,Marketing
KM-08281,Agriculture - KM
KM-08282,Agriculture - KM
KM-08283,Banking
KM-08284,Revenue
KM-08285,Revenue
KM-08287,Revenue
KM-08289,Revenue
KM-08290,Revenue
KM-08291,Revenue
KM-08292,Revenue
KM-08293,Revenue
KM-08294,Agriculture - KM
KM-08296,Revenue
KM-08297,Agriculture - KM
KM-08298,Revenue
KM-08299,Agriculture - KM
KM-08300,Banking
KM-08301,Marketing
KM-08302,Electricity
KM-08303,Revenue
KM-08304,Electricity
KM-08305,Revenue
KM-08306,Revenue
KM-08307,Electricity
KM-08308,Revenue
KM-08309,Electricity
KM-08310,Revenue
KM-08311,Revenue
KM-08312,Agriculture - KM
KM-08313,Revenue
KM-08314,Revenue
KM-08316,Revenue
KM-08317,Revenue
KM-08318,Revenue
KM-08319,Marketing
KM-08320,Agriculture - KM
KM-08321,Revenue
KM-08322,Revenue
KM-08323,Revenue
KM-08324,Revenue
KM-08325,Revenue
KM-08326,Revenue
KM-08327,Agriculture - KM
KM-08328,Agriculture - KM
KM-08329,Revenue
KM-08330,Banking
KM-08331,Revenue
KM-08332,Revenue
KM-08333,Revenue
KM-08334,Agriculture - KM
KM-08335,Agriculture - KM
KM-08335,Revenue
KM-08336,Agriculture - KM
KM-08337,Agriculture - KM
KM-08338,Panchayath
KM-08339,Education
KM-08340,Revenue
KM-08341,Revenue
KM-08342,Revenue
KM-08343,Agriculture - KM
KM-08344,Revenue
KM-08345,Banking
KM-08346,Banking
KM-08347,Electricity
KM-08347,Panchayath
KM-08348,Banking
KM-08349,Banking
KM-08350,Banking
KM-08351,Banking
KM-08352,Banking
KM-08353,Banking
KM-08354,Banking
KM-08356,Revenue
KM-08357,Horticulture
KM-08358,Agriculture - KM
KM-08359,Banking
KM-08360,Banking
KM-08361,Revenue
KM-08362,Revenue
KM-08363,Revenue
KM-08364,Agriculture - KM
KM-08366,Revenue
KM-08367,Revenue
KM-08368,Revenue
KM-08369,BC Corporation
KM-08370,Revenue
KM-08372,Banking
KM-08373,Marketing
KM-08374,Revenue
KM-08375,Kisan Mitra Help Line
KM-08377,Agriculture - KM
KM-08378,Agriculture - KM
KM-08379,Revenue
KM-08380,Insurance
KM-08381,Revenue
KM-08382,Banking
KM-08383,Revenue
KM-08384,Revenue
KM-08385,Agriculture - KM
KM-08386,Revenue
KM-08387,Revenue
KM-08388,Banking
KM-08389,Agriculture - KM
KM-08389,Banking
KM-08390,Revenue
KM-08391,Revenue
KM-08392,Revenue
KM-08393,Agriculture - KM
KM-08394,Agriculture - KM
KM-08395,Agriculture - KM
KM-08396,Agriculture - KM
KM-08397,Agriculture - KM
KM-08398,Markfed
KM-08399,Agriculture - KM
KM-08400,Revenue
KM-08401,Revenue
KM-08402,Agriculture - KM
KM-08403,Kisan Mitra Help Line
KM-08404,Rural Development
KM-08406,Agriculture - KM
KM-08407,Agriculture - KM
KM-08408,BC Corporation
KM-08409,Horticulture
KM-08410,Agriculture - KM
KM-08410,Banking
KM-08411,Agriculture - KM
KM-08412,Revenue
KM-08413,Horticulture
KM-08414,Agriculture - KM
KM-08415,Agriculture - KM
KM-08416,Agriculture - KM
KM-08417,Revenue
KM-08418,Revenue
KM-08419,Agriculture - KM
KM-08420,Agriculture - KM
KM-08421,Agriculture - KM
KM-08422,Banking
KM-08423,Revenue
KM-08424,Revenue
KM-08425,Agriculture - KM
KM-08426,Revenue
KM-08429,Animal Husbandary & Veternary
KM-08430,Agriculture - KM
KM-08431,Banking
KM-08432,Banking
KM-08433,Agriculture - KM
KM-08434,Revenue
KM-08435,Agriculture - KM
KM-08436,Agriculture - KM
KM-08437,Rural Development
KM-08438,Rural Development
KM-08439,Agriculture - KM
KM-08440,Electricity
KM-08443,Revenue
KM-08444,Revenue
KM-08445,Revenue
KM-08446,Revenue
KM-08447,Revenue
KM-08448,Revenue
KM-08450,Banking
KM-08451,Revenue
KM-08452,Agriculture - KM
KM-08453,Agriculture - KM
KM-08454,Revenue
KM-08455,Electricity
KM-08456,Agriculture - KM
KM-08457,Banking
KM-08458,Revenue
KM-08459,Revenue
KM-08460,Revenue
KM-08461,Agriculture - KM
KM-08462,Agriculture - KM
KM-08463,Agriculture - KM
KM-08465,Agriculture - KM
KM-08466,Agriculture - KM
KM-08467,Banking
KM-08468,Agriculture - KM
KM-08469,Agriculture - KM
KM-08470,Agriculture - KM
KM-08471,Agriculture - KM
KM-08472,Agriculture - KM
KM-08474,Revenue
KM-08475,Agriculture - KM
KM-08476,Agriculture - KM
KM-08477,Agriculture - KM
KM-08478,Agriculture - KM
KM-08479,Agriculture - KM
KM-08480,Markfed
KM-08481,Rural Development
KM-08483,Agriculture - KM
KM-08484,Kisan Mitra Help Line
KM-08485,Banking
KM-08486,Agriculture - KM
KM-08487,Agriculture - KM
KM-08489,Revenue
KM-08490,Agriculture - KM
KM-08491,Revenue
KM-08492,Revenue
KM-08493,Agriculture - KM
KM-08494,Agriculture - KM
KM-08495,Agriculture - KM
KM-08496,Agriculture - KM
KM-08497,Agriculture - KM
KM-08498,Agriculture - KM
KM-08498,Animal Husbandary & Veternary
KM-08499,Agriculture - KM
KM-08500,Revenue
KM-08501,Agriculture - KM
KM-08502,Agriculture - KM
KM-08503,Marketing
KM-08504,Agriculture - KM
KM-08505,Agriculture - KM
KM-08506,Agriculture - KM
KM-08507,Agriculture - KM
KM-08508,Agriculture - KM
KM-08509,Agriculture - KM
KM-08510,Revenue
KM-08511,Agriculture - KM
KM-08512,Agriculture - KM
KM-08513,Revenue
KM-08514,Agriculture - KM
KM-08515,Revenue
KM-08516,Agriculture - KM
KM-08517,Agriculture - KM
KM-08518,Markfed
KM-08520,ITDA Department
KM-08521,Agriculture - KM
KM-08523,Revenue
KM-08524,Revenue
KM-08524,Agriculture - KM
KM-08525,Revenue
KM-08526,Agriculture - KM
KM-08527,Agriculture - KM
KM-08528,Agriculture - KM
KM-08529,Rural Development
KM-08530,Rural Development
KM-08531,Agriculture - KM
KM-08532,Agriculture - KM
KM-08533,Agriculture - KM
KM-08534,Agriculture - KM
KM-08535,Revenue
KM-08536,Agriculture - KM
KM-08537,Agriculture - KM
KM-08539,Revenue
KM-08540,Agriculture - KM
KM-08541,Revenue
KM-08542,Revenue
KM-08543,Agriculture - KM
KM-08543,Banking
KM-08544,Agriculture - KM
KM-08544,Banking
KM-08545,Other
KM-08546,Agriculture - KM
KM-08547,Agriculture - KM
KM-08548,Agriculture - KM
KM-08549,Agriculture - KM
KM-08550,Agriculture - KM
KM-08551,Revenue
KM-08552,Revenue
KM-08553,Rural Development
KM-08554,Agriculture - KM
KM-08555,Agriculture - KM
KM-08556,Revenue
KM-08557,Agriculture - KM
KM-08558,SERP-MKSP
KM-08559,Agriculture - KM
KM-08560,Electricity
KM-08561,Agriculture - KM
KM-08562,Revenue
KM-08563,Banking
KM-08564,Marketing
KM-08566,Revenue
KM-08568,Agriculture - KM
KM-08569,Banking
KM-08570,Insurance
KM-08571,Agriculture - KM
KM-08572,Rural Development
KM-08574,Revenue
KM-08575,Horticulture
KM-08576,Revenue
KM-08577,Revenue
KM-08578,Agriculture - KM
KM-08579,Revenue
KM-08580,Rural Development
KM-08581,Irrigation
KM-08582,SERP-MKSP
KM-08583,Agriculture - KM
KM-08584,Horticulture
KM-08585,Agriculture - KM
KM-08586,Agriculture - KM
KM-08587,Agriculture - KM
KM-08588,Agriculture - KM
KM-08589,Agriculture - KM
KM-08590,Revenue
KM-08591,Agriculture - KM
KM-08592,Agriculture - KM
KM-08593,Other
KM-08595,Revenue
KM-08596,Agriculture - KM
KM-08597,Kisan Mitra Help Line
KM-08598,Revenue
KM-08599,Agriculture - KM
KM-08600,Agriculture - KM
KM-08601,Agriculture - KM
KM-08602,Agriculture - KM
KM-08603,Agriculture - KM
KM-08604,Revenue
KM-08605,Agriculture - KM
KM-08606,Revenue
KM-08607,Kisan Mitra Help Line
KM-08608,Agriculture - KM
KM-08609,Agriculture - KM
KM-08610,Agriculture - KM
KM-08611,Revenue
KM-08613,Agriculture - KM
KM-08614,Agriculture - KM
KM-08615,Agriculture - KM
KM-08616,RWS department
KM-08618,Rural Development
KM-08619,Revenue
KM-08620,Agriculture - KM
KM-08621,Housing
KM-08622,Marketing
KM-08626,Agriculture - KM
KM-08627,Revenue
KM-08628,Agriculture - KM
KM-08629,Banking
KM-08630,Agriculture - KM
KM-08632,Agriculture - KM
KM-08633,Revenue
KM-08634,Revenue
KM-08635,Agriculture - KM
KM-08636,Agriculture - KM
KM-08637,Agriculture - KM
KM-08638,Agriculture - KM
KM-08639,Revenue
KM-08640,Agriculture - KM
KM-08640,Banking
KM-08642,Agriculture - KM
KM-08643,SERP-MKSP
KM-08644,Agriculture - KM
KM-08645,Agriculture - KM
KM-08646,Agriculture - KM
KM-08647,Rural Development
KM-08648,Revenue
KM-08651,Agriculture - KM
KM-08652,Kisan Mitra Help Line
KM-08653,Revenue
KM-08654,Rural Development
KM-08655,Agriculture - KM
KM-08656,SERP-MKSP
KM-08657,Agriculture - KM
KM-08658,Agriculture - KM
KM-08659,Agriculture - KM
KM-08660,Revenue
KM-08661,Agriculture - KM
KM-08662,Revenue
KM-08663,Revenue
KM-08664,Revenue
KM-08665,Agriculture - KM
KM-08666,Agriculture - KM
KM-08668,Agriculture - KM
KM-08669,Revenue
KM-08670,Agriculture - KM
KM-08671,Banking
KM-08672,Agriculture - KM
KM-08673,Banking
KM-08674,Agriculture - KM
KM-08675,SERP-MKSP
KM-08676,Revenue
KM-08677,Revenue
KM-08678,Agriculture - KM
KM-08679,Agriculture - KM
KM-08680,Kisan Mitra Help Line
KM-08681,RWS department
KM-08682,Rural Development
KM-08683,Agriculture - KM
KM-08684,Agriculture - KM
KM-08685,Kisan Mitra Help Line
KM-08686,Kisan Mitra Help Line
KM-08687,Kisan Mitra Help Line
KM-08688,BC Corporation
KM-08689,Kisan Mitra Help Line
KM-08690,Kisan Mitra Help Line
KM-08691,Revenue
KM-08692,Revenue
KM-08694,Kisan Mitra Help Line
KM-08695,Kisan Mitra Help Line
KM-08696,Kisan Mitra Help Line
KM-08697,Department not mapped
KM-08698,Revenue
KM-08701,Kisan Mitra Help Line
KM-08702,Kisan Mitra Help Line
KM-08703,Kisan Mitra Help Line
KM-08704,Agriculture - KM
KM-08705,Kisan Mitra Help Line
KM-08706,Revenue
KM-08707,Kisan Mitra Help Line
KM-08708,Kisan Mitra Help Line
KM-08709,Kisan Mitra Help Line
KM-08710,Kisan Mitra Help Line
KM-08711,Revenue
KM-08712,Kisan Mitra Help Line
KM-08713,Revenue
KM-08714,Marketing
KM-08715,Agriculture - KM
KM-08716,Agriculture - KM
KM-08717,Marketing
KM-08718,Agriculture - KM
KM-08719,Agriculture - KM
KM-08720,Kisan Mitra Help Line
KM-08721,Kisan Mitra Help Line
KM-08722,Kisan Mitra Help Line
KM-08723,Kisan Mitra Help Line
KM-08724,SC Corporation
KM-08725,Agriculture - KM
KM-08726,Agriculture - KM
KM-08727,Agriculture - KM
KM-08728,Revenue
KM-08729,SERP-MKSP
KM-08730,Agriculture - KM
KM-08731,Revenue
KM-08732,Agriculture - KM
KM-08733,Revenue
KM-08734,Agriculture - KM
KM-08735,Revenue
KM-08736,Agriculture - KM
KM-08737,Revenue
KM-08738,Agriculture - KM
KM-08739,Agriculture - KM
KM-08740,Agriculture - KM
KM-08741,Agriculture - KM
KM-08741,SERP-MKSP
KM-08742,Agriculture - KM
KM-08744,SERP-MKSP
KM-08745,Rural Development
KM-08746,Animal Husbandary & Veternary
KM-08747,Revenue
KM-08748,Agriculture - KM
KM-08749,Agriculture - KM
KM-08750,Revenue
KM-08751,Banking
KM-08753,Agriculture - KM
KM-08754,SERP-MKSP
KM-08755,Agriculture - KM
KM-08756,Agriculture - KM
KM-08757,Agriculture - KM
KM-08758,Agriculture - KM
KM-08759,Agriculture - KM
KM-08760,Agriculture - KM
KM-08761,Agriculture - KM
KM-08762,Agriculture - KM
KM-08763,Markfed
KM-08764,Agriculture - KM
KM-08765,Agriculture - KM
KM-08766,Agriculture - KM
KM-08767,Agriculture - KM
KM-08768,Agriculture - KM
KM-08769,Agriculture - KM
KM-08770,Agriculture - KM
KM-08771,Agriculture - KM
KM-08772,Agriculture - KM
KM-08773,Agriculture - KM
KM-08774,Agriculture - KM
KM-08776,Agriculture - KM
KM-08777,Agriculture - KM
KM-08778,Revenue
KM-08779,Marketing
KM-08780,Agriculture - KM
KM-08783,Agriculture - KM
KM-08784,Revenue
KM-08785,Rural Development
KM-08786,Horticulture
KM-08786,SERP-MKSP
KM-08791,Agriculture - KM
KM-08792,Agriculture - KM
KM-08795,Agriculture - KM
KM-08796,Revenue
KM-08797,Agriculture - KM
KM-08798,Agriculture - KM
KM-08799,Agriculture - KM
KM-08800,Marketing
KM-08801,Agriculture - KM
KM-08804,Agriculture - KM
KM-08805,Agriculture - KM
KM-08806,Agriculture - KM
KM-08807,Revenue
KM-08808,Agriculture - KM
KM-08809,Marketing
KM-08810,Rural Development
KM-08811,Marketing
KM-08812,Revenue
KM-08813,Agriculture - KM
KM-08814,Revenue
KM-08815,Agriculture - KM
KM-08817,Revenue
KM-08818,Agriculture - KM
KM-08819,Agriculture - KM
KM-08820,Agriculture - KM
KM-08821,Rural Development
KM-08822,Other
KM-08823,BC Corporation
KM-08825,Revenue
KM-08827,Agriculture - KM
KM-08829,Agriculture - KM
KM-08830,Agriculture - KM
KM-08831,Agriculture - KM
KM-08832,SERP-MKSP
KM-08832,Agriculture - KM
KM-08834,Agriculture - KM
KM-08835,SERP-MKSP
KM-08835,Agriculture - KM
KM-08836,Agriculture - KM
KM-08837,Agriculture - KM
KM-08838,Medical Dept.
KM-08839,Electricity
KM-08840,Horticulture
KM-08841,Marketing
KM-08843,Agriculture - KM
KM-08844,Agriculture - KM
KM-08844,SERP-MKSP
KM-08845,Revenue
KM-08846,Agriculture - KM
KM-08847,Revenue
KM-08848,Agriculture - KM
KM-08849,Agriculture - KM
KM-08850,Agriculture - KM
KM-08851,Agriculture - KM
KM-08852,Revenue
KM-08853,Revenue
KM-08854,Agriculture - KM
KM-08855,Agriculture - KM
KM-08856,Horticulture
KM-08857,Agriculture - KM
KM-08858,Revenue
KM-08859,Revenue
KM-08861,Revenue
KM-08862,Agriculture - KM
KM-08863,Agriculture - KM
KM-08864,Agriculture - KM
KM-08865,Agriculture - KM
KM-08866,Revenue
KM-08867,Rural Development
KM-08868,Agriculture - KM
KM-08870,Agriculture - KM
KM-08871,Agriculture - KM
KM-08873,Revenue
KM-08874,Agriculture - KM
KM-08875,Agriculture - KM
KM-08876,Department not mapped
KM-08877,Agriculture - KM
KM-08878,Agriculture - KM
KM-08879,Marketing
KM-08881,Agriculture - KM
KM-08882,Agriculture - KM
KM-08883,Revenue
KM-08884,Revenue
KM-08885,Agriculture - KM
KM-08886,Revenue
KM-08887,Agriculture - KM
KM-08888,Marketing
KM-08889,Rural Development
KM-08890,Revenue
KM-08891,Agriculture - KM
KM-08892,Revenue
KM-08893,Revenue
KM-08894,Agriculture - KM
KM-08895,Revenue
KM-08896,Revenue
KM-08897,Revenue
KM-08898,Revenue
KM-08899,Agriculture - KM
KM-08900,Agriculture - KM
KM-08902,Revenue
KM-08903,Horticulture
KM-08903,SERP-MKSP
KM-08904,Agriculture - KM
KM-08905,BC Corporation
KM-08906,Revenue
KM-08907,Agriculture - KM
KM-08909,Electricity
KM-08910,Horticulture
KM-08911,Revenue
KM-08913,Revenue
KM-08913,ITDA Department
KM-08914,Revenue
KM-08915,Agriculture - KM
KM-08916,Horticulture
KM-08917,SC Corporation
